Achterbahnfahrt;2
Achterdeck;3
Achterpack;1
Achterpackung;2
Achterschiff;3
Achtersteven;1
Achtflach;3
Achtflächner;1
Achtfüßer;1
Achtkampf;1
Achtklässler;1
Achtklässlerin;2
Achtlosigkeit;2
Achtpfünder;1
Achtsamkeit;2
Achtsilbner;1
Achtstundentag;1
Achttonner;1
Achtundvierziger;1
Achtundvierzigerin;2
Achtung;2
Achtungsbezeigung;2
Achtungserfolg;1
Achtzig;2
Achtziger;1
Achtzigstel;3
Achtzylinder;1
Achäne;2
Acid;3
Acidhouse;3
Acidum;3
Acker;1
Ackerbau;1
Ackerbauer;1
Ackerbeet;3
Ackerboden;1
Ackerbäuerin;2
Ackerdistel;2
Ackerfräse;2
Ackergaul;1
Ackerhahnenfuß;1
Ackerkrume;2
Ackerkult;1
Ackerland;3
Ackerschachtelhalm;1
Ackerschlepper;1
Ackersenf;1
Ackerwinde;2
Ackja;1
Aconitum;3
Acquit;3
Acre;1
Acryl;3
Acrylaldehyd;1
Acrylamid;3
Acrylglas;3
Acrylharz;3
Acrylnitril;3
Acrylsäure;2
Act;1
Acting-out;3
Actinium;3
Actinomycin;3
Action-Painting;3
Action;2
Actiondarsteller;1
Actiondarstellerin;2
Actionthriller;1
Actor;1
Actress;2
Ad-Click;1
Ad-hoc-Bildung;2
Ad-hoc-Meldung;2
Ad-hoc-Mitteilung;2
Ad-hoc-Publizität;2
Ad;3
Adabei;1
Adagio;3
Adaktylie;2
Adam;1
Adamit;1
Adamitin;2
Adamsapfel;1
Adamskostüm;3
Adaptabilität;2
Adaptation;2
Adaptationssyndrom;3
Adapter;1
Adaptierung;2
Adaption;2
Add-on;3
Addend;1
Addendum;3
Addiermaschine;2
Addiktion;2
Addition;2
Additionswort;3
Additiv;3
Adduktion;2
Adduktor;1
Ade;3
Adebar;1
Adel;1
Adelphie;2
Adelphogamie;2
Adelsbrief;1
Adelsbuch;3
Adelsexperte;1
Adelsexpertin;2
Adelskalender;1
Adelspatent;3
Adelsprädikat;3
Adelsstand;1
Adelstitel;1
Adelung;2
Adenin;3
Adenitis;2
Adenohypophyse;2
Adenoidkarzinom;3
Adenom;3
Adenosin;3
Adenotomie;2
Adenovirus;3
Adept;1
Adeptin;2
Ader;2
Adergeflecht;3
Aderhaut;2
Aderlass;1
Adermin;3
Adhortation;2
Adhortativ;1
Adhärenz;2
Adhäsion;2
Adhäsionsbahn;2
Adhäsionsklausel;2
Adhäsionskraft;2
Adhäsionsverschluss;1
Adiabate;2
Adiaphoron;3
Adieu;3
Adipositas;2
Adipsie;2
Adiuretin;3
Adjektiv;3
Adjektivum;3
Adjudikation;2
Adjunkt;1
Adjunkt;3
Adjunktin;2
Adjunktion;2
Adjustage;2
Adjustierung;2
Adjustment;3
